# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 26 09:18:59 2022
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%transit%'
# CONSTRAINT:  and disc_facility like '%k2%'
# CONSTRAINT:  and soltype like '%confirmed%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,pl_letter,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-100 b,K2-100,b,Gaia DR2 664337230586013312,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,1.67391600,0.00001200,-0.00001300,0,,,,,3.500,0.200,-0.200,0,0.312,0.018,-0.018,0,,,,,,,,,,0.240000,0.190000,-0.120000,0,,,,,,,,,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,,6120.00,90.00,-90.00,0,1.19,0.05,-0.05,0,1.18,0.09,-0.09,0,0.140,0.040,-0.040,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m24.26s,129.6010863,+20d06m21.63s,20.1060074,188.9590000,2.4710000,-2.4100000,10.6510000,0.0120000,-0.0120000,9.1820000,0.0180000,-0.0180000,10.4053000,0.0004060,-0.0004060,2018-10-24,2017-02,2016-12-21
K2-100 b,K2-100,b,Gaia DR2 664337230586013312,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,1.67390350,0.00000040,-0.00000040,0,0.030100,0.001400,-0.001400,0,3.880,0.160,-0.160,0,0.346,0.014,-0.014,0,21.80000,6.20000,-6.20000,0,0.06859,0.01951,-0.01951,0,Mass,0.000000,,,0,1915.00,178.00,-165.00,0,1841,41,-41,0,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>,G0 V,5945.00,110.00,-110.00,0,1.24,0.05,-0.05,0,1.15,0.05,-0.05,0,0.220,0.090,-0.090,0,[Fe/H],4.33,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m24.26s,129.6010863,+20d06m21.63s,20.1060074,188.9590000,2.4710000,-2.4100000,10.6510000,0.0120000,-0.0120000,9.1820000,0.0180000,-0.0180000,10.4053000,0.0004060,-0.0004060,2021-07-12,2019-11,2021-07-12
K2-100 b,K2-100,b,Gaia DR2 664337230586013312,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=STEFANSSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..266S/abstract target=ref>Stefansson et al. 2018</a>,1.67390240,0.00000100,-0.00000100,0,0.042200,0.003300,-0.004500,0,3.450,0.160,-0.150,0,0.308,0.014,-0.014,0,,,,,,,,,,0.000000,0.000000,0.000000,0,990.00,260.00,-120.00,0,1094,65,-36,0,0,<a refstr=STEFANSSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..266S/abstract target=ref>Stefansson et al. 2018</a>,,6120.00,90.00,-90.00,0,1.19,0.05,-0.05,0,1.18,0.09,-0.09,0,0.140,0.040,-0.040,0,[Fe/H],4.36,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m24.26s,129.6010863,+20d06m21.63s,20.1060074,188.9590000,2.4710000,-2.4100000,10.6510000,0.0120000,-0.0120000,9.1820000,0.0180000,-0.0180000,10.4053000,0.0004060,-0.0004060,2019-07-08,2018-12,2019-07-11
K2-101 b,K2-101,b,Gaia DR2 661004400386393984,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,14.67721400,0.00084700,-0.00082500,0,,,,,2.194,0.310,-0.124,0,0.196,0.028,-0.011,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,4942.00,53.00,-53.00,0,0.77,0.02,-0.02,0,0.83,0.02,-0.02,0,0.140,0.080,-0.080,0,[Fe/H],4.66,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m22.54s,130.3439097,+18d56m01.75s,18.9338205,188.3300000,2.1280000,-2.0820000,12.8920000,0.1140000,-0.1140000,10.5360000,0.0190000,-0.0190000,12.6619000,0.0004700,-0.0004700,2018-02-14,2018-03,2018-02-15
K2-101 b,K2-101,b,Gaia DR2 661004400386393984,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210903346C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2021</a>,14.67624290,0.00002010,-0.00002030,0,0.112400,0.009500,-0.023900,0,2.000,0.140,-0.070,0,0.178,0.012,-0.006,0,,,,,,,,,,,,,,,,,,618,9,-25,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210903346C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2021</a>,,4927.00,47.00,-46.00,0,0.76,0.01,-0.01,0,0.82,0.02,-0.03,0,0.070,0.070,-0.070,0,[Fe/H],4.59,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m22.54s,130.3439097,+18d56m01.75s,18.9338205,188.3300000,2.1280000,-2.0820000,12.8920000,0.1140000,-0.1140000,10.5360000,0.0190000,-0.0190000,12.6619000,0.0004700,-0.0004700,2021-09-20,2021-09,2021-09-20
K2-101 b,K2-101,b,Gaia DR2 661004400386393984,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,14.67728600,0.00082800,-0.00080400,0,,,,,2.000,0.100,-0.100,0,0.178,0.009,-0.009,0,,,,,,,,,,0.100000,0.180000,-0.080000,0,,,,,,,,,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,,4819.00,45.00,-45.00,0,0.73,0.03,-0.03,0,0.80,0.06,-0.06,0,0.140,0.040,-0.040,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m22.54s,130.3439097,+18d56m01.75s,18.9338205,188.3300000,2.1280000,-2.0820000,12.8920000,0.1140000,-0.1140000,10.5360000,0.0190000,-0.0190000,12.6619000,0.0004700,-0.0004700,2016-12-20,2017-02,2016-12-21
K2-102 b,K2-102,b,Gaia DR2 661310756111835392,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,9.91561500,0.00120900,-0.00119500,0,,,,,1.300,0.100,-0.100,0,0.116,0.009,-0.009,0,,,,,,,,,,0.100000,0.160000,-0.070000,0,,,,,,,,,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,,4695.00,50.00,-50.00,0,0.71,0.03,-0.03,0,0.77,0.06,-0.06,0,0.140,0.040,-0.040,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m13.41s,130.0558953,+19d46m43.51s,19.7787519,188.1750000,2.0650000,-2.0220000,13.0830000,0.1030000,-0.1030000,10.6400000,0.0200000,-0.0200000,12.8466000,0.0006020,-0.0006020,2016-12-20,2017-02,2016-12-21
K2-104 b,K2-104,b,Gaia DR2 664292459846946560,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,1.97423800,0.00011000,-0.00011000,0,0.023000,0.001000,-0.001000,0,1.960,0.150,-0.150,0,0.175,0.013,-0.013,0,,,,,,,,,,0.090000,0.167783,-0.072670,0,62.10,16.00,-13.80,0,,,,,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3546.46,98.71,-94.56,0,0.49,0.03,-0.03,0,0.43,0.06,-0.07,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m32.80s,129.6366594,+19d46m25.39s,19.7737202,189.2890000,3.9960000,-3.8370000,15.9890000,0.2060000,-0.2060000,12.0140000,0.0210000,-0.0210000,15.3955000,0.0006060,-0.0006060,2017-12-12,2017-11,2017-10-26
K2-104 b,K2-104,b,Gaia DR2 664292459846946560,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,1.97419000,0.00011000,-0.00011000,0,,,,,1.900,0.200,-0.100,0,0.170,0.018,-0.009,0,,,,,,,,,,0.180000,0.290000,-0.140000,0,,,,,,,,,0,<a refstr=MANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...64M/abstract target=ref>Mann et al. 2017</a>,,3660.00,67.00,-67.00,0,0.48,0.02,-0.02,0,0.51,0.02,-0.02,0,0.140,0.040,-0.040,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m32.80s,129.6366594,+19d46m25.39s,19.7737202,189.2890000,3.9960000,-3.8370000,15.9890000,0.2060000,-0.2060000,12.0140000,0.0210000,-0.0210000,15.3955000,0.0006060,-0.0006060,2017-12-12,2017-02,2016-12-21
K2-104 b,K2-104,b,Gaia DR2 664292459846946560,1,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210903346C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2021</a>,1.97419540,0.00000240,-0.00000240,0,0.024200,0.002200,-0.005500,0,1.790,0.100,-0.060,0,0.160,0.009,-0.005,0,,,,,,,,,,,,,,,,,,798,9,-39,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210903346C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2021</a>,,3712.00,54.00,-76.00,0,0.48,0.01,-0.01,0,0.51,0.02,-0.02,0,0.180,0.090,-0.100,0,[Fe/H],4.78,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m32.80s,129.6366594,+19d46m25.39s,19.7737202,189.2890000,3.9960000,-3.8370000,15.9890000,0.2060000,-0.2060000,12.0140000,0.0210000,-0.0210000,15.3955000,0.0006060,-0.0006060,2021-09-20,2021-09,2021-09-20
K2-105 b,K2-105,b,Gaia DR2 651907079835937280,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,8.26679000,0.00013800,-0.00013300,0,,,,,3.407,0.234,-0.149,0,0.304,0.021,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5475.00,50.00,-50.00,0,0.91,0.06,-0.04,0,0.96,0.03,-0.03,0,0.260,0.080,-0.080,0,[Fe/H],4.51,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.9890000,1.5550000,-1.5300000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2018-10-24,2018-03,2018-02-15
K2-105 b,K2-105,b,Gaia DR2 651907079835937280,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,8.26699280,0.00000700,-0.00000670,0,0.083300,0.003900,-0.011600,0,3.590,0.110,-0.070,0,0.320,0.010,-0.006,0,,,,,,,,,,,,,,,,,,928,1,-23,0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2022</a>,,5636.00,49.00,-52.00,0,0.97,0.01,-0.01,0,1.05,0.02,-0.02,0,0.230,0.040,-0.030,0,[Fe/H],4.49,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.9890000,1.5550000,-1.5300000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2021-09-20,2022-01,2021-09-20
K2-105 b,K2-105,b,Gaia DR2 651907079835937280,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,8.26770400,0.00035000,-0.00031800,0,0.079600,0.000700,-0.000700,0,3.370,0.120,-0.120,0,0.301,0.011,-0.011,0,,,,,,,,,,,,,,,,,,814,12,-12,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5464.00,65.00,-65.00,0,0.91,0.01,-0.01,0,0.99,0.03,-0.03,0,0.250,0.050,-0.050,0,[Fe/H],4.51,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.9890000,1.5550000,-1.5300000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2018-10-24,2018-12,2018-10-26
K2-105 b,K2-105,b,Gaia DR2 651907079835937280,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=NARITA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017PASJ...69...29N/abstract target=ref>Narita et al. 2017</a>,8.26690200,0.00007000,-0.00007000,0,0.081000,0.006000,-0.006000,0,3.590,0.440,-0.390,0,0.369,0.039,-0.034,0,30.00000,19.00000,-19.00000,0,0.09439,0.05978,-0.05978,0,Mass,,,,,,,,,,,,,0,<a refstr=NARITA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017PASJ...69...29N/abstract target=ref>Narita et al. 2017</a>,,5434.00,53.00,-53.00,0,0.95,0.11,-0.10,0,1.01,0.07,-0.07,0,0.260,0.050,-0.050,0,[Fe/H],4.48,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m40.87s,125.4202985,+13d29m51.04s,13.4975122,197.9890000,1.5550000,-1.5300000,11.7520000,0.0320000,-0.0320000,10.0910000,0.0190000,-0.0190000,11.7124000,0.0003080,-0.0003080,2018-10-24,2017-04,2017-01-12
K2-107 b,K2-107,b,Gaia DR2 4081684580199958528,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,3.31392100,0.00001000,-0.00001000,0,,,,,12.043,1.619,-0.953,0,1.074,0.144,-0.085,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,6178.00,50.00,-50.00,0,1.33,0.18,-0.10,0,1.26,0.05,-0.05,0,0.350,0.080,-0.080,0,[Fe/H],4.24,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.2000000,20.5020000,-19.3640000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2018-10-24,2018-03,2018-02-15
K2-107 b,K2-107,b,Gaia DR2 4081684580199958528,1,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,3.31395900,0.00002400,-0.00002400,0,0.047500,0.000600,-0.000600,0,15.980,0.550,-0.550,0,1.426,0.049,-0.049,0,,,,,,,,,,,,,,,,,,1649,39,-39,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,6061.00,96.00,-96.00,0,1.81,0.06,-0.06,0,1.30,0.05,-0.05,0,0.140,0.060,-0.060,0,[Fe/H],4.04,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.2000000,20.5020000,-19.3640000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2018-10-24,2018-12,2018-10-26
K2-107 b,K2-107,b,Gaia DR2 4081684580199958528,0,1,1,Transit,2017,K2,Published Confirmed,0,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,3.31392000,0.00002000,-0.00002000,0,0.048000,0.005000,-0.005000,0,16.141,1.681,-1.681,0,1.440,0.150,-0.150,0,266.97720,25.42640,-25.42640,0,0.84000,0.08000,-0.08000,0,Mass,0.000000,,,0,,,,,1780,90,-90,0,0,<a refstr=EIGM_UUML_LLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..130E/abstract target=ref>Eigm&uuml;ller et al. 2017</a>,F9 IV,6030.00,120.00,-120.00,0,1.78,0.16,-0.16,0,1.30,0.14,-0.14,0,0.100,0.100,-0.100,0,[Fe/H],4.07,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m56.49s,284.9853550,-22d17m36.31s,-22.2934206,685.2000000,20.5020000,-19.3640000,13.0120000,0.1030000,-0.1030000,11.2100000,0.0210000,-0.0210000,12.7669000,0.0003380,-0.0003380,2018-10-24,2017-03,2017-02-02
